key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization
AXbwd6-AcVuveqdRQAyk,apache_struts:plugins/embeddedjsp/src/main/java/org/apache/struts2/el/lang/ELArithmetic.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""ROUND_HALF_UP""; it is deprecated.",91,7520075cd2f9a16f5d9dcfcd688bdab2,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,91,91,108,121,CODE_SMELL,apache
AXbwd6-AcVuveqdRQAyl,apache_struts:plugins/embeddedjsp/src/main/java/org/apache/struts2/el/lang/ELArithmetic.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""Double""; it is deprecated.",120,5c0625d6c4dd396daf0eb7b3ca31783a,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,120,120,23,29,CODE_SMELL,apache
AXbwd6-AcVuveqdRQAym,apache_struts:plugins/embeddedjsp/src/main/java/org/apache/struts2/el/lang/ELArithmetic.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""Double""; it is deprecated.",128,05cb059dc5341a3d5a3fca725fb0aac3,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,128,128,23,29,CODE_SMELL,apache
AXbwd6-AcVuveqdRQAyn,apache_struts:plugins/embeddedjsp/src/main/java/org/apache/struts2/el/lang/ELArithmetic.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""Double""; it is deprecated.",132,1293fcd8b63ac3adc9bd37c4143531fe,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,132,132,23,29,CODE_SMELL,apache
AXbwd6-AcVuveqdRQAyo,apache_struts:plugins/embeddedjsp/src/main/java/org/apache/struts2/el/lang/ELArithmetic.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""Double""; it is deprecated.",136,3afd357f9626db7a3ee45f8991c60b31,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,136,136,23,29,CODE_SMELL,apache
AXbwd6-AcVuveqdRQAyp,apache_struts:plugins/embeddedjsp/src/main/java/org/apache/struts2/el/lang/ELArithmetic.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""Double""; it is deprecated.",140,e80fb0e4601d5499e317816d10f6df28,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,140,140,23,29,CODE_SMELL,apache
AXbwd6-AcVuveqdRQAyq,apache_struts:plugins/embeddedjsp/src/main/java/org/apache/struts2/el/lang/ELArithmetic.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""Double""; it is deprecated.",150,b2e64a20433cdcf355566481487e62d0,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,150,150,23,29,CODE_SMELL,apache
AXbwd6-AcVuveqdRQAyr,apache_struts:plugins/embeddedjsp/src/main/java/org/apache/struts2/el/lang/ELArithmetic.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""Double""; it is deprecated.",160,f3325764e9da567dfc7230a3c762d067,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,160,160,23,29,CODE_SMELL,apache
AXbwd6-AcVuveqdRQAys,apache_struts:plugins/embeddedjsp/src/main/java/org/apache/struts2/el/lang/ELArithmetic.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""Long""; it is deprecated.",177,9eda85f1835ce3b591e07ba50ba1fd66,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,177,177,23,27,CODE_SMELL,apache
AXbwd6-AcVuveqdRQAyt,apache_struts:plugins/embeddedjsp/src/main/java/org/apache/struts2/el/lang/ELArithmetic.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""Long""; it is deprecated.",183,d2bcf3412415fa633402c7fd4b77f6e3,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,183,183,23,27,CODE_SMELL,apache
